Country,year,Reported number of people receiving ART,Estimated number of people living with HIV,Estimated ART coverage among people living with HIV (%),Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region
Afghanistan,2018,920,7200[4100–11000],13[7–20],7200,4100,11000,13,7,20,Eastern Mediterranean
Albania,2018,580,Nodata,Nodata,,,,,,,Europe
Algeria,2018,12800,16000[15000–17000],81[75–86],16000,15000,17000,81,75,86,Africa
Angola,2018,88700,330000[290000–390000],27[23–31],330000,290000,390000,27,23,31,Africa
Argentina,2018,85500,140000[130000–150000],61[55–67],140000,130000,150000,61,55,67,Americas
Armenia,2018,1900,3500[3000–4400],53[44–65],3500,3000,4400,53,44,65,Europe
Australia,2018,22800,28000[23000–31000],83[70–93],28000,23000,31000,83,70,93,Western Pacific
Austria,2018,Nodata,Nodata,Nodata,,,,,,,Europe
Azerbaijan,2018,4400,Nodata,Nodata,,,,,,,Europe
Bahamas,2018,3100,6000[5300–6700],52[45–58],6000,5300,6700,52,45,58,Americas
Bahrain,2018,Nodata,Nodata,Nodata,,,,,,,Eastern Mediterranean
Bangladesh,2018,3000,14000[12000–16000],22[19–25],14000,12000,16000,22,19,25,South-East Asia
Barbados,2018,1500,3000[2700–3400],50[44–57],3000,2700,3400,50,44,57,Americas
Belarus,2018,15500,27000[22000–34000],59[48–75],27000,22000,34000,59,48,75,Europe
Belgium,2018,Nodata,Nodata,Nodata,,,,,,,Europe
Belize,2018,1400,4900[4400–5400],28[26–31],4900,4400,5400,28,26,31,Americas
Benin,2018,44200,73000[48000–120000],61[40–95],73000,48000,120000,61,40,95,Africa
Bhutan,2018,480,1300[700–2700],37[20–78],1300,700,2700,37,20,78,South-East Asia
Bolivia (Plurinational State of),2018,9900,22000[20000–24000],44[40–48],22000,20000,24000,44,40,48,Americas
Bosnia and Herzegovina,2018,220,500[500–500],67[57–78],500,500,500,67,57,78,Europe
Botswana,2018,307000,370000[330000–400000],83[75–90],370000,330000,400000,83,75,90,Africa
Brazil,2018,593000,900000[690000–1100000],66[51–82],900000,690000,1100000,66,51,82,Americas
Brunei Darussalam,2018,150,Nodata,Nodata,,,,,,,Western Pacific
Bulgaria,2018,1500,3500[3000–4100],41[35–48],3500,3000,4100,41,35,48,Europe
Burkina Faso,2018,59300,96000[78000–120000],62[50–75],96000,78000,120000,62,50,75,Africa
Burundi,2018,65500,82000[71000–97000],80[69–94],82000,71000,97000,80,69,94,Africa
Cabo Verde,2018,2200,2400[2100–2900],89[75–95],2400,2100,2900,89,75,95,Africa
Cambodia,2018,59500,73000[64000–84000],81[71–93],73000,64000,84000,81,71,93,Western Pacific
Cameroon,2018,281000,540000[470000–590000],52[46–57],540000,470000,590000,52,46,57,Africa
Canada,2018,Nodata,Nodata,Nodata,,,,,,,Americas
Central African Republic,2018,39600,110000[90000–140000],36[30–45],110000,90000,140000,36,30,45,Africa
Chad,2018,61400,120000[94000–150000],51[40–63],120000,94000,150000,51,40,63,Africa
